CodePoint,LongName
0xF7EB,\[GothicSix]
0xF6DF,\[GothicT]
0xF7E8,\[GothicThree]
0xF7E7,\[GothicTwo]
0xF6E0,\[GothicU]
0xF6E1,\[GothicV]
0xF6E2,\[GothicW]
0xF6E3,\[GothicX]
0xF6E4,\[GothicY]
0xF6E5,\[GothicZ]
0xF7E5,\[GothicZero]
0xF3D6,\[Gradient]
0xF753,\[GrayCircle]
0xF752,\[GraySquare]
0x2265,\[GreaterEqual]
0x22DB,\[GreaterEqualLess]
0x2267,\[GreaterFullEqual]
0x226B,\[GreaterGreater]
0x2277,\[GreaterLess]
0x2A7E,\[GreaterSlantEqual]
0x2273,\[GreaterTilde]
0x02C7,\[Hacek]
0x263A,\[HappySmiley]
0x210F,\[HBar]
0x2661,\[HeartSuit]
0xF3CE,\[HermitianConjugate]
0x2500,\[HorizontalLine]
0x224E,\[HumpDownHump]
0x224F,\[HumpEqual]
0x2010,\[Hyphen]
0x00ED,\[IAcute]
0x012D,\[ICup]
0x00EF,\[IDoubleDot]
0x00EC,\[IGrave]
0x00EE,\[IHat]
0xF74E,\[ImaginaryI]
0xF74F,\[ImaginaryJ]
0xF39E,\[ImplicitPlus]
0xF523,\[Implies]
0xF3A3,\[IndentingNewLine]
0x221E,\[Infinity]
0xF51E,\[InlinePart]
0x222B,\[Integral]
0x22C2,\[Intersection]
0xF76D,\[InvisibleApplication]
0xF765,\[InvisibleComma]
0xF3B4,\[InvisiblePostfixScriptBase]
0xF3B3,\[InvisiblePrefixScriptBase]
0xF360,\[InvisibleSpace]
0x2062,\[InvisibleTimes]
0x03B9,\[Iota]
0x2643,\[Jupiter]
0x03BA,\[Kappa]
0xF756,\[KernelIcon]
0xF7D3,\[KeyBar]
0x03DF,\[Koppa]
0x03BB,\[Lambda]
0x2206,\[Laplacian]
0xF7FB,\[LastPage]
0x2329,\[LeftAngleBracket]
0x2190,\[LeftArrow]
0x21E4,\[LeftArrowBar]
0x21C6,\[LeftArrowRightArrow]
0xF113,\[LeftAssociation]
0xF603,\[LeftBracketingBar]
0x2308,\[LeftCeiling]
0x301A,\[LeftDoubleBracket]
0xF605,\[LeftDoubleBracketingBar]
0x2961,\[LeftDownTeeVector]
0x21C3,\[LeftDownVector]
0x2959,\[LeftDownVectorBar]
0x230A,\[LeftFloor]
0x00AB,\[LeftGuillemet]
0xF76B,\[LeftModified]
0x25C2,\[LeftPointer]
0x2194,\[LeftRightArrow]
0x294E,\[LeftRightVector]
0xF761,\[LeftSkeleton]
0x22A3,\[LeftTee]
0x21A4,\[LeftTeeArrow]
0x295A,\[LeftTeeVector]
0x22B2,\[LeftTriangle]
0x29CF,\[LeftTriangleBar]
0x22B4,\[LeftTriangleEqual]
0x2951,\[LeftUpDownVector]
0x2960,\[LeftUpTeeVector]
0x21BF,\[LeftUpVector]
0x2958,\[LeftUpVectorBar]
0x21BC,\[LeftVector]
0x2952,\[LeftVectorBar]
0x264C,\[LeoSign]
0x2264,\[LessEqual]
0x22DA,\[LessEqualGreater]
0x2266,\[LessFullEqual]
0x2276,\[LessGreater]
0x226A,\[LessLess]
0x2A7D,\[LessSlantEqual]
0x2272,\[LessTilde]
0xF754,\[LetterSpace]
0x264E,\[LibraSign]
0xF723,\[LightBulb]
0xF438,\[Limit]
0x2028,\[LineSeparator]
0x2014,\[LongDash]
0xF7D9,\[LongEqual]
0x27F5,\[LongLeftArrow]
0x27F7,\[LongLeftRightArrow]
0x27F6,\[LongRightArrow]
0x2199,\[LowerLeftArrow]
0x2198,\[LowerRightArrow]
0x0142,\[LSlash]
0x2642,\[Mars]
0xF757,\[MathematicaIcon]
0xF439,\[MaxLimit]
0x2221,\[MeasuredAngle]
0x205F,\[MediumSpace]
0x263F,\[Mercury]
0x2127,\[Mho]
0x00B5,\[Micro]
0xF43A,\[MinLimit]
0x2212,\[Minus]
0x2213,\[MinusPlus]
0xF7D6,\[Mod1Key]
0xF7D7,\[Mod2Key]
0x263E,\[Moon]
0x03BC,\[Mu]
0x22BC,\[Nand]
0x266E,\[Natural]
0xF383,\[NegativeMediumSpace]
0xF384,\[NegativeThickSpace]
0xF382,\[NegativeThinSpace]
0xF380,\[NegativeVeryThinSpace]
0x2646,\[Neptune]
0x2AA2,\[NestedGreaterGreater]
0x2AA1,\[NestedLessLess]
0xF722,\[NeutralSmiley]
0x000A,\[NewLine]
0x0148,\[NHacek]
0x2060,\[NoBreak]
0x00A0,\[NonBreakingSpace]
0x22BD,\[Nor]
0x00AC,\[Not]
